demo	sceneChanged	total	animated
official-custom-spiral-race	false	43	0
official-dataset-link	CRASHED	0	0
official-dataset-link	true	115	32
official-data-transform-sort-bar	CRASHED	0	0
official-data-transform-sort-bar	false	41	0
official-dataset-encode0	CRASHED	0	0
official-dataset-encode0	false	56	0
official-dataset-series-layout-by	CRASHED	0	0
official-dataset-series-layout-by	true	116	20
official-dataset-simple0	CRASHED	0	0
official-dataset-simple0	true	55	8
official-dataset-simple1	CRASHED	0	0
official-dataset-simple1	true	55	8
official-data-transform-multiple-pie	CRASHED	0	0
official-data-transform-multiple-pie	false	22	0
official-dataset-default	CRASHED	0	0
official-dataset-default	true	37	12
official-dataset-encode1	CRASHED	0	0
official-dataset-encode1	false	12554	0
official-area-simple	CRASHED	0	0
official-area-simple	true	80	0
official-line-graphic	CRASHED	0	0
official-line-graphic	false	64	9
official-graphic-stroke-animation	CRASHED	0	0
official-graphic-stroke-animation	false	2	0
official-graphic-loading	CRASHED	0	0
official-graphic-loading	false	9	0
