demo	sceneChanged	total	animated
gauge-two	CRASHED	0	0
gauge-two	false	180	0
line-area-gradient	CRASHED	0	0
line-area-gradient	false	59	8
bar-polar-radial	CRASHED	0	0
bar-polar-radial	false	34	0
scatter-polar	CRASHED	0	0
scatter-polar	false	48	0
pie-selected	CRASHED	0	0
pie-selected	false	5	0
bar-two-series-grid	CRASHED	0	0
bar-two-series-grid	true	50	7
line-step	CRASHED	0	0
line-step	false	44	6
bar-item-color	CRASHED	0	0
bar-item-color	false	36	0
line-item-color	CRASHED	0	0
line-item-color	false	46	6
scatter-series-color	CRASHED	0	0
scatter-series-color	true	69	3
pie-colored	CRASHED	0	0
pie-colored	false	5	0
tree-polyline	CRASHED	0	0
tree-polyline	true	18	0
graph-grid	CRASHED	0	0
graph-grid	false	34	0
sankey-branch	CRASHED	0	0
sankey-branch	false	9	0
radar-varied-max	CRASHED	0	0
radar-varied-max	false	39	0
heatmap-piecewise	CRASHED	0	0
heatmap-piecewise	false	82	0
line-boundary-gap	CRASHED	0	0
line-boundary-gap	false	56	7
themeriver-three	CRASHED	0	0
themeriver-three	false	39	0
boxplot-single	CRASHED	0	0
boxplot-single	false	29	0
bar-label-top	CRASHED	0	0
bar-label-top	false	36	0
line-no-symbol	CRASHED	0	0
line-no-symbol	false	42	0
pie-label-inside	CRASHED	0	0
pie-label-inside	false	5	0
scatter-dense	CRASHED	0	0
scatter-dense	false	166	0
radar-split-area	CRASHED	0	0
radar-split-area	false	34	0
graph-labeled	CRASHED	0	0
graph-labeled	false	12	0
sankey-labeled	CRASHED	0	0
sankey-labeled	false	7	0
tree-top-bottom	CRASHED	0	0
tree-top-bottom	true	20	0
treemap-three	CRASHED	0	0
treemap-three	false	22	11
sunburst-labeled	CRASHED	0	0
sunburst-labeled	false	5	0
bar-min-height	CRASHED	0	0
bar-min-height	false	32	0
line-two-smooth	CRASHED	0	0
line-two-smooth	true	63	12
toolbox-basic	CRASHED	0	0
toolbox-basic	true	47	0
bar-decal	CRASHED	0	0
bar-decal	false	36	0
bar-aria-decal	CRASHED	0	0
bar-aria-decal	false	43	0
marker-markpoint	CRASHED	0	0
marker-markpoint	false	38	0
marker-markline	CRASHED	0	0
marker-markline	false	49	5
marker-markarea	CRASHED	0	0
marker-markarea	false	42	5
official-line-simple	CRASHED	0	0
official-line-simple	false	49	7
official-line-smooth	CRASHED	0	0
official-line-smooth	false	47	7
official-area-basic	CRASHED	0	0
official-area-basic	false	55	7
official-line-stack	CRASHED	0	0
official-line-stack	true	148	42
official-area-stack	CRASHED	0	0
official-area-stack	true	152	46
official-area-stack-gradient	CRASHED	0	0
official-area-stack-gradient	true	98	12
official-bump-chart	CRASHED	0	0
official-bump-chart	false	196	54
official-line-marker	CRASHED	0	0
official-line-marker	true	95	19
official-area-pieces	CRASHED	0	0
official-area-pieces	false	48	0
official-data-transform-filter	CRASHED	0	0
official-data-transform-filter	false	51	0
official-line-gradient	CRASHED	0	0
official-line-gradient	false	82	0
official-line-sections	CRASHED	0	0
official-line-sections	false	98	20
official-confidence-band	CRASHED	0	0
official-confidence-band	false	53	0
official-grid-multiple	CRASHED	0	0
official-grid-multiple	true	159	12
official-line-aqi	CRASHED	0	0
official-line-aqi	false	117	6
official-multiple-x-axis	CRASHED	0	0
official-multiple-x-axis	true	85	12
official-area-rainfall	CRASHED	0	0
official-area-rainfall	true	115	17
official-area-time-axis	CRASHED	0	0
official-area-time-axis	false	84	0
official-dynamic-data2	CRASHED	0	0
official-dynamic-data2	false	47	0
official-line-function	CRASHED	0	0
official-line-function	false	111	0
official-line-race	CRASHED	0	0
official-line-race	false	83	0
official-line-markline	CRASHED	0	0
official-line-markline	false	138	5
official-line-style	CRASHED	0	0
official-line-style	false	45	7
official-line-in-cartesian-coordinate-system	CRASHED	0	0
official-line-in-cartesian-coordinate-system	false	57	3
official-line-log	CRASHED	0	0
official-line-log	true	128	69
official-line-step	CRASHED	0	0
official-line-step	true	95	14
official-line-easing	CRASHED	0	0
official-line-easing	false	406	0
official-line-fisheye-lens	CRASHED	0	0
official-line-fisheye-lens	true	25	0
official-line-y-category	CRASHED	0	0
official-line-y-category	true	38	17
official-line-pen	CRASHED	0	0
official-line-pen	false	58	5
official-line-polar	CRASHED	0	0
official-line-polar	true	20	0
official-line-polar2	CRASHED	0	0
official-line-polar2	true	20	0
official-line-tooltip-touch	CRASHED	0	0
official-line-tooltip-touch	false	93	18
official-line-draggable	CRASHED	0	0
official-line-draggable	false	114	5
official-bar-simple	CRASHED	0	0
official-bar-simple	false	36	0
official-bar-tick-align	CRASHED	0	0
official-bar-tick-align	false	36	0
official-bar-background	CRASHED	0	0
official-bar-background	false	43	0
official-bar-data-color	CRASHED	0	0
official-bar-data-color	false	36	0
official-bar-waterfall	CRASHED	0	0
official-bar-waterfall	false	48	0
official-bar-negative2	CRASHED	0	0
official-bar-negative2	false	36	0
official-bar-polar-label-radial	CRASHED	0	0
official-bar-polar-label-radial	false	31	0
official-bar-polar-label-tangential	CRASHED	0	0
official-bar-polar-label-tangential	false	40	0
official-bar-y-category	CRASHED	0	0
official-bar-y-category	true	55	6
official-polar-endAngle	CRASHED	0	0
official-polar-endAngle	false	60	0
official-bar-breaks-simple	CRASHED	0	0
official-bar-breaks-simple	true	78	21
official-bar-gradient	CRASHED	0	0
official-bar-gradient	false	87	0
official-bar-label-rotation	CRASHED	0	0
official-bar-label-rotation	true	77	21
official-bar-stack	CRASHED	0	0
official-bar-stack	true	149	57
official-bar-stack-borderRadius	CRASHED	0	0
official-bar-stack-borderRadius	false	67	0
official-bar-stack-normalization	CRASHED	0	0
official-bar-stack-normalization	true	89	28
official-bar-stack-normalization-and-variation	CRASHED	0	0
official-bar-stack-normalization-and-variation	true	120	28
official-bar-waterfall2	CRASHED	0	0
official-bar-waterfall2	true	73	17
official-bar-y-category-stack	CRASHED	0	0
official-bar-y-category-stack	true	89	38
official-bar-brush	CRASHED	0	0
official-bar-brush	true	99	40
official-bar-negative	CRASHED	0	0
official-bar-negative	true	69	14
official-bar1	CRASHED	0	0
official-bar1	true	86	13
official-mix-line-bar	CRASHED	0	0
official-mix-line-bar	true	113	24
official-mix-zoom-on-value	CRASHED	0	0
official-mix-zoom-on-value	true	143	56
official-multiple-y-axis	CRASHED	0	0
official-multiple-y-axis	true	124	46
official-bar-animation-delay	CRASHED	0	0
official-bar-animation-delay	true	165	100
official-bar-drilldown	CRASHED	0	0
official-bar-drilldown	false	30	0
official-bar-large	CRASHED	0	0
official-bar-large	false	61	0
official-bar-race	CRASHED	0	0
official-bar-race	true	21	0
official-bar-multi-drilldown	CRASHED	0	0
official-bar-multi-drilldown	false	28	0
official-bar-race-country	CRASHED	0	0
official-bar-race-country	true	63	0
official-bar-rich-text	CRASHED	0	0
official-bar-rich-text	true	59	6
official-dynamic-data	CRASHED	0	0
official-dynamic-data	true	111	10
official-mix-timeline-finance	CRASHED	0	0
official-mix-timeline-finance	true	188	0
official-watermark	CRASHED	0	0
official-watermark	false	150	0
official-bar-polar-real-estate	CRASHED	0	0
official-bar-polar-real-estate	true	121	63
official-bar-polar-stack	CRASHED	0	0
official-bar-polar-stack	true	56	8
official-bar-polar-stack-radial	CRASHED	0	0
official-bar-polar-stack-radial	true	60	24
official-polar-roundCap	CRASHED	0	0
official-polar-roundCap	true	47	5
official-bar-breaks-brush	CRASHED	0	0
official-bar-breaks-brush	true	82	21
official-pie-simple	CRASHED	0	0
official-pie-simple	true	33	4
official-pie-borderRadius	CRASHED	0	0
official-pie-borderRadius	true	29	4
official-pie-doughnut	CRASHED	0	0
official-pie-doughnut	true	29	4
official-pie-half-donut	CRASHED	0	0
official-pie-half-donut	true	29	4
official-pie-padAngle	CRASHED	0	0
official-pie-padAngle	true	29	4
official-pie-custom	CRASHED	0	0
official-pie-custom	false	11	0
official-pie-pattern	CRASHED	0	0
official-pie-pattern	false	10	0
official-pie-roseType	CRASHED	0	0
official-pie-roseType	false	30	16
official-pie-roseType-simple	CRASHED	0	0
official-pie-roseType-simple	true	48	7
official-pie-alignTo	CRASHED	0	0
official-pie-alignTo	false	39	0
official-pie-labelLine-adjust	CRASHED	0	0
official-pie-labelLine-adjust	false	24	0
